2015-01,-74.109,40.579,Midland Beach
2015-01,-73.922,40.69,Bushwick
2015-01,-73.915,40.686,Bushwick
2015-01,-73.9,40.677,Bushwick
2015-01,-73.998,40.605,Bensonhurst
2015-01,-74.008,40.715,Tribeca
2015-01,-73.919,40.864,Inwood
2015-01,-73.977,40.764,Midtown
2015-01,-73.967,40.804,Upper West Side
2015-01,-73.954,40.69,Bedford-Stuyvesant
2015-01,-73.949,40.714,Williamsburg
2015-01,-73.908,40.703,Ridgewood
2015-01,-73.817,40.702,Woodhaven-Richmond Hill
2015-01,-73.981,40.759,Midtown
2015-01,-73.831,40.685,Woodhaven-Richmond Hill
2015-01,-73.929,40.856,Washington Heights
2015-01,-73.945,40.824,Hamilton Heights
2015-01,-73.925,40.762,Astoria-Long Island City
2015-01,-73.979,40.661,Flatbush
2015-01,-73.979,40.684,Boerum Hill
2015-01,-73.884,40.748,Jackson Heights
2015-01,-74.014,40.701,Financial District
2015-01,-73.999,40.619,Bensonhurst
2015-01,-73.954,40.69,Bedford-Stuyvesant
2015-01,-73.959,40.671,Fort Green
2015-01,-73.958,40.609,Gravesend-Sheepshead Bay
2015-01,-74.178,40.541,Annandale
2015-01,-74.109,40.579,Midland Beach
2015-01,-73.915,40.686,Bushwick
2015-01,-73.959,40.671,Fort Green
2015-01,-73.899,40.651,Canarsie
2015-01,-73.982,40.746,Gramercy
2015-01,-74.002,40.719,Tribeca
2015-01,-73.898,40.749,Woodside
2015-01,-73.948,40.64,Mapleton-Flatlands
2015-01,-73.832,40.847,Parkchester
2015-01,-73.996,40.744,Chelsea
2015-01,-73.956,40.599,Gravesend-Sheepshead Bay
2015-01,-73.985,40.691,Downtown
2015-01,-73.979,40.684,Boerum Hill
2015-01,-73.989,40.741,Gramercy
2015-01,-73.904,40.689,Bushwick
2015-01,-73.838,40.719,Forest Hills
2015-01,-74.109,40.579,Midland Beach
2015-01,-73.99,40.734,Greenwich Village
2015-01,-73.942,40.701,Williamsburg
2015-01,-73.817,40.702,Woodhaven-Richmond Hill
2015-02,-73.905,40.879,Kings Bridge
2015-02,-74.002,40.719,Tribeca
2015-02,-73.837,40.697,Woodhaven-Richmond Hill
2015-02,-73.989,40.67,Carroll Gardens
2015-02,-73.901,40.664,Brownsville
2015-02,-73.954,40.69,Bedford-Stuyvesant
2015-02,-73.927,40.819,Mott Haven
2015-02,-73.94,40.837,Washington Heights
2015-02,-74.001,40.613,Bensonhurst
2015-02,-73.854,40.898,Wakefield-Williamsbridge
2015-02,-73.958,40.609,Gravesend-Sheepshead Bay
2015-02,-74.178,40.541,Annandale
2015-02,-73.894,40.866,Fordham
2015-02,-73.888,40.837,South Bronx
2015-02,-74.109,40.579,Midland Beach
